ark,url,title,type,commitment,identifier,format,relation,source,metadata,classLabel,class,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P51,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P92,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P70,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#P138
ark:/99999/dc5w69tj4qt9,https://digitalcollections.frick.org,Frick Digital Collections,repository,,fpw,HTML,https://collections.frick.org,https://www.frick.org,,Repository,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E1,ark:/99999/ab3hn5s8zzsc,,,
ark:/99999/ab3hn5s8zzsc,https://www.frick.org/library,Frick Art Reference Library,repository,,fp,HTML,https://collections.frick.org,https://www.frick.org,,Repository,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E1,,,,
ark:/99999/gh4jrxbdwr4n,https://archives.frick.org/repositories/3,Frick Collection Archives,repository,,fa,HTML,https://archives.frick.org,https://www.frick.org,,Repository,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E1,ark:/99999/ab3hn5s8zzsc,,,
ark:/99999/fm706zwfb7kq,https://research.frick.org/directory?,Archives Directory for the History of Collecting in America,repository,,archivesdirectory,HTML,https://research.frick.org,https://www.frick.org,,Repository,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E1,ark:/99999/ab3hn5s8zzsc,,,
ark:/99999/fm7rxvm79661,https://www.wikidata.org/wiki/Q95586270,Gladys Lloyd Robinson,authority,,Q95586270,HTML,https://www.wikidata.org/wiki/Q104694359,https://www.wikidata.org/wiki/Special:EntityData/Q95586270,,Person,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E21,ark:/99999/fm706zwfb7kq,,,
ark:/99999/fm787n2np8jd,https://research.frick.org/directory/detail/5437,"Robinson, Gladys Lloyd, 1895-1971",text,,5437,HTML,http://127.0.0.1:8000/ark:/99999/fm706zwfb7kq,http://127.0.0.1:8000/ark:/99999/fm7rxvm79661,,Authority,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E32,,,ark:/99999/fm7rxvm79661,
ark:/99999/dc51fh3fd9kc,https://digitalcollections.frick.org/digico/#/details/bibRecordNumber/b15960341/Photoarchive,Avant-Port de Dieppe.,image,,b15960341,HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc5q40bs8h0w,http://127.0.0.1:8000/ark:/99999/ab3fw51rgg44,,Image,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71,ark:/99999/fm7rxvm79661,https://www.wikidata.org/wiki/Q134741,,
ark:/99999/dc502rrg1207,https://digitalcollections.frick.org/digico/#/details/bibRecordNumber/b12717848/Photoarchive,"La Rue Saint-Honore, Effet de Soleil, Après-Midi.",image,,b12717848,HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc5q40bs8h0w,http://127.0.0.1:8000/ark:/99999/ab3mz3fcvmkc,,Image,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71,ark:/99999/fm7rxvm79661,https://www.wikidata.org/wiki/Q134741,,
ark:/99999/dc5c3dfz60v4,https://digitalcollections.frick.org/digico/#/details/bibRecordNumber/b15985404/Photoarchive,Interior with Family Scene.,image,,b15985404,HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc5xg2s4ftz6,http://127.0.0.1:8000/ark:/99999/ab3p8f4dvj5x,,Image,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71,ark:/99999/fm7rxvm79661,https://www.wikidata.org/wiki/Q239394,,
ark:/99999/dc5m17t0pskc,https://digitalcollections.frick.org/digico/#/details/bibRecordNumber/b16049615/Photoarchive,La Fillette au Chapeau.,image,,b16049615,HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc584bcg75f7,http://127.0.0.1:8000/ark:/99999/ab31xcxr4vd3,,Image,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71,ark:/99999/fm7rxvm79661,https://www.wikidata.org/wiki/Q39931,,
ark:/99999/dc53kxwqb424,https://digitalcollections.frick.org/digico/#/details/bibRecordNumber/b11200765/Photoarchive,Père Tanguy,image,,b11200765,HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc53dh24jkzt,http://127.0.0.1:8000/ark:/99999/ab3srbv549cv,,Image,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71,ark:/99999/fm7rxvm79661,https://www.wikidata.org/wiki/Q5582,,
ark:/99999/dc5bv7gctc6j,https://digitalcollections.frick.org/digico/#/details/containerID/3107100208128/Photoarchive,In Memoriam,image,,3.1071E+12,HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc5c36c3kk4f,http://127.0.0.1:8000/ark:/99999/dc5w69tj4qt9/digico/#/archive/Photoarchive/,,Image,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71,,ark:/99999/fm7rxvm79661,,
ark:/99999/dc58xzjpq0df,https://digitalcollections.frick.org/digico/#/details/containerID/3107100208131/Photoarchive,"Basket Market, Marriakes, Moroco",image,,3.1071E+12,HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc5c36c3kk4f,http://127.0.0.1:8000/ark:/99999/dc5w69tj4qt9/digico/#/archive/Photoarchive/,,Image,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71,,ark:/99999/fm7rxvm79661,,
ark:/99999/dc55f9w7jrvm,https://digitalcollections.frick.org/digico/#/details/containerID/3107100208129/Photoarchive,"San Miguel, California",image,,3.1071E+12,HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc5c36c3kk4f,http://127.0.0.1:8000/ark:/99999/dc5w69tj4qt9/digico/#/archive/Photoarchive/,,Image,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71,,ark:/99999/fm7rxvm79661,,
ark:/99999/dc57nrvrmxpm,https://digitalcollections.frick.org/digico/#/details/containerID/3107100208134/Photoarchive,"Ojai Valley, California",image,,3.1071E+12,HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc5c36c3kk4f,http://127.0.0.1:8000/ark:/99999/dc5w69tj4qt9/digico/#/archive/Photoarchive/,,Image,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E71,,ark:/99999/fm7rxvm79661,,
ark:/99999/ab3fw51rgg44,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004850699707141,Avant-Port de Dieppe.,text,,991004850699707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3smrhz05x1,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/photoarchive,,Record,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E73,,,ark:/99999/ab31t419d7b5,ark:/99999/dc51fh3fd9kc
ark:/99999/ab3mz3fcvmkc,https://library.frick.org/permalink/01NYA_INST/d73c5u/alma991004852519707141,"La Rue Saint-Honore, Effet de Soleil, Après-Midi.",text,,991004852519707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3smrhz05x1,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/photoarchive,,Record,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E73,,,ark:/99999/ab31t419d7b5,ark:/99999/dc502rrg1207
ark:/99999/ab3p8f4dvj5x,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004979509707141,Interior with Family Scene.,text,,991004979509707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3qgtzhpjj5,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/photoarchive,,Record,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E73,,,ark:/99999/ab31t419d7b5,ark:/99999/dc5c3dfz60v4
ark:/99999/ab31xcxr4vd3,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991005211659707141,La Fillette au Chapeau.,text,,991005211659707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3qts8cz8w7,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/photoarchive,,Record,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E73,,,ark:/99999/ab31t419d7b5,ark:/99999/dc5m17t0pskc
ark:/99999/ab3srbv549cv,https://library.frick.org/permalink/01NYA_INST/d73c5u/alma991000988459707141,Père Tanguy,text,,991000988459707141,MARC,http://127.0.0.1:8000/ark:/99999/ab36n2xjqhh6,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/photoarchive,,Record,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E73,,,ark:/99999/ab31t419d7b5,ark:/99999/dc53kxwqb424
ark:/99999/gh4bkw43bp7m,https://archives.frick.org/repositories/3/archival_objects/158,"Robinson, Gladys Lloyd, 1895-1971, undated",text,,158,HTML,http://127.0.0.1:8000/ark:/99999/gh4jrxbdwr4n,http://127.0.0.1:8000/ark:/99999/gh4jrxbdwr4n/resources/1,,Document,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E31,ark:/99999/gh4jrxbdwr4n,,ark:/99999/fm7rxvm79661,
ark:/99999/ab31t419d7b5,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991008449649707141,"The Gladys Lloyd Robinson and Edward G. Robinson collection : [catalogue] : an exhibition ... Los Angeles County Museum, September 11 to November 11; California Palace of the Legion of Honor, San Francisco, November 30 to January 13, 1956-1957.",text,,991008449649707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/collections#books,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc,,Document,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E31,ark:/99999/ab3hn5s8zzsc,,ark:/99999/fm7rxvm79661,
ark:/99999/ab3hzfx1qc6j,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991012559229707141,Paintings & drawings.,text,,991012559229707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/collections#auction,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc,,Document,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E31,ark:/99999/ab3hn5s8zzsc,,ark:/99999/fm7rxvm79661,
ark:/99999/ab3qcxg0479d,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991012558939707141,"Italian and other primitives, Renaissance & Baroque paintings; Dutch XVII century petits maitres, French & Italian XVIII century works; British paintings.",text,,991012558939707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/collections#auction,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc,,Document,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E31,ark:/99999/ab3hn5s8zzsc,,ark:/99999/fm7rxvm79661,
ark:/99999/ab30b6q7cck4,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991008548459707141,"Paintings by Gladys L. Robinson, January, 1948.",text,,991008548459707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/collections#books,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc,,Document,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E31,ark:/99999/ab3hn5s8zzsc,,ark:/99999/fm7rxvm79661,
ark:/99999/ab3wvj11hnjz,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991009245169707141,"Paintings, Gladys Lloyd Robinson.",text,,991009245169707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/collections#books,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc,,Document,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E31,ark:/99999/ab3hn5s8zzsc,,ark:/99999/fm7rxvm79661,
ark:/99999/ab3smrhz05x1,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text/collection,,991004627479707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/photoarchive,https://www.wikidata.org/wiki/Q134741,,Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E78,ark:/99999/ab3hn5s8zzsc,,https://www.wikidata.org/wiki/Q134741,https://www.wikidata.org/wiki/Q134741
ark:/99999/ab3qgtzhpjj5,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text/collection,,991004627699707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/photoarchive,https://www.wikidata.org/wiki/Q239394,,Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E78,ark:/99999/ab3hn5s8zzsc,,https://www.wikidata.org/wiki/Q239394,https://www.wikidata.org/wiki/Q239394
ark:/99999/ab3qts8cz8w7,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text/collection,,991002409469707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/photoarchive,https://www.wikidata.org/wiki/Q39931,,Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E78,ark:/99999/ab3hn5s8zzsc,,https://www.wikidata.org/wiki/Q39931,https://www.wikidata.org/wiki/Q39931
ark:/99999/ab36n2xjqhh6,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text/collection,,991004314619707141,MARC,http://127.0.0.1:8000/ark:/99999/ab3hn5s8zzsc/photoarchive,https://www.wikidata.org/wiki/Q5582,,Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E78,ark:/99999/ab3hn5s8zzsc,,https://www.wikidata.org/wiki/Q5582,https://www.wikidata.org/wiki/Q5582
ark:/99999/ab38n1605hh2,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Gladys Lloyd Robinson  Artist File,text/collection,,991004314619707141,MARC,http://127.0.0.1:8000/ark:/99999/dc5w69tj4qt9/digico/#/archive/Photoarchive/,http://127.0.0.1:8000/ark:/99999/fm7rxvm79661,,Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E78,ark:/99999/ab3hn5s8zzsc,,ark:/99999/fm7rxvm79661,ark:/99999/fm7rxvm79661
ark:/99999/dc5c36c3kk4f,https://digitalcollections.frick.org/digico/#/archive/Photoarchive/,Gladys Lloyd Robinson Digital Artist File,image/collection,,"Robinson, Gladys Lloyd (Cassell), 1895/96-1971.",HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc5w69tj4qt9/digico/#/archive/Photoarchive/,http://127.0.0.1:8000/ark:/99999/ab38n1605hh2,,Digital Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E28,ark:/99999/dc5w69tj4qt9,,,ark:/99999/ab3smrhz05x1
ark:/99999/dc5q40bs8h0w,https://digitalcollections.frick.org/digico/#/archive/Photoarchive/,Camille Pissarro Digital Artist File,image/collection,,"Pissarro, Camille, 1830-1903. ",HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc5w69tj4qt9/digico/#/archive/Photoarchive/,http://127.0.0.1:8000/ark:/99999/ab3smrhz05x1,,Digital Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E28,ark:/99999/dc5w69tj4qt9,,,ark:/99999/ab3qgtzhpjj5
ark:/99999/dc5xg2s4ftz6,https://digitalcollections.frick.org/digico/#/archive/Photoarchive/,Edouard Vuillard Digital Artist File,image/collection,,"Vuillard, Edouard, 1868-1940.",HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc5w69tj4qt9/digico/#/archive/Photoarchive/,http://127.0.0.1:8000/ark:/99999/ab3qgtzhpjj5,,Digital Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E28,ark:/99999/dc5w69tj4qt9,,,ark:/99999/ab3qts8cz8w7
ark:/99999/dc584bcg75f7,https://digitalcollections.frick.org/digico/#/archive/Photoarchive/,Pierre Auguste Renoir Digital Artist File,image/collection,,"Renoir, Auguste, 1841-1919.",HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc5w69tj4qt9/digico/#/archive/Photoarchive/,http://127.0.0.1:8000/ark:/99999/ab3qts8cz8w7,,Digital Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E28,ark:/99999/dc5w69tj4qt9,,,ark:/99999/ab36n2xjqhh6
ark:/99999/dc53dh24jkzt,https://digitalcollections.frick.org/digico/#/archive/Photoarchive/,Vincent Van Gogh Digital Artist File,image/collection,,"Gogh, Vincent van, 1853-1890. ",HTML/jpg,http://127.0.0.1:8000/ark:/99999/dc5w69tj4qt9/digico/#/archive/Photoarchive/,http://127.0.0.1:8000/ark:/99999/ab36n2xjqhh6,,Digital Artist File,https://www.cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E28,ark:/99999/dc5w69tj4qt9,,,ark:/99999/ab38n1605hh2