ark,url,title,type,commitment,identifier,format,relation,source,metadata
ark:/99999/ab3rgxtz1hf3,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3cx17t3gmb,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3rjm9vssr1,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab30m3zhfs16,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3jznkxrbpm,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab33f6wvrxfd,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3k6fjtn8bq,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3pxdhxjzhq,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab313j03x3nn,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3nbfkppg5b,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab32d18cjznr,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab303sr50wwv,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3xpxg66mz1,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3231r12cn5,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3sj6n0qhsz,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3bxc8srmp9,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab378h4xz8gx,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3d1x24qf1g,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3sfjtv1nqz,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab32x340tz4h,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab32st7d6kfq,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3x2qjgr6kp,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3qtqf97tgm,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3xm2trjt6q,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab35cm3rz7rw,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3rtp571h5n,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab387ks8xp1j,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab31hfh954pb,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab372bgtspkd,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3sx2b3rhbs,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3h3czprpq4,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3j0zrbzd7b,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3r2vxswkrz,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3k116xmdxg,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3320466n4r,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab394sk7gcbn,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3tj2nrzhf1,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3x09q92tkc,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3f995fz2bx,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3gch1054c7,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3k2604wpj7,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3c0s6zvx5m,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3kdq6bf8xx,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab37j4h0krwc,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab37fjptddtr,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3gsddf3b88,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab35bt2kghdf,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3vcrnqzfp8,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3nzdjwv7bv,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3w2rwtf3w1,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3k8bbmshj3,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3fjn4qpcqd,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3gsht70d8j,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3q5mdrg33k,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3f14p116t6,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3kd578264h,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3p585185ps,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3q0whnp2j2,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3twkh3vk3r,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3rh2dgmb0d,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3nr1bdbr55,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3qhvz1tknk,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3cnps9vq8g,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3kdvph5czc,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3gd2x5vk6w,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab32cxxsnm1x,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab38pb8cz953,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3jpwhxcgkb,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3kd6fd2rqb,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3vwgb66q66,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab30z5n158ht,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3w473xw5b5,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3kjhdh658n,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3g143fbpbw,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3qk90xdzqr,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3kwwck41f6,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3z7zd36f6v,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab36nhwqkxtc,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3bvm7vf2m9,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3fv7c82w82,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab36j4780798,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3fr0qvg0xq,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab3szmrv1m42,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3h14wcgr3n,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
ark:/99999/ab3j60wsh7xb,https://library.frick.org/permalink/01NYA_INST/cvgb5f/alma991004627479707141,Camille Pissarro Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q134741,
ark:/99999/ab3f16g2b64r,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004627699707141,Edouard Vuillard Artist File,text,,9.91005E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q239394,
ark:/99999/ab34jw6z8j67,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991002409469707141,Pierre Auguste Renoir Artist File,text,,9.91002E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q39931,
ark:/99999/ab3gkvfjqnc9,https://library.frick.org/permalink/01NYA_INST/1qqhid8/alma991004314619707141,Vincent Van Gogh Artist File,text,,9.91004E+17,MARC,33/photoarchive,https://www.wikidata.org/wiki/Q5582,
